iter	RMSE
0	3.189954541
1	3.134985361
2	3.078298933
3	3.032979218
4	2.983554589
5	2.939452673
6	2.900887228
7	2.862752167
8	2.832278439
9	2.796894422
10	2.76480318
11	2.737302168
12	2.706722
13	2.680156847
14	2.655909941
15	2.636158935
16	2.615167703
17	2.595001951
18	2.572699067
19	2.554075044
20	2.534802949
21	2.517615594
22	2.502660233
23	2.485026641
24	2.470694497
25	2.458290227
26	2.445859035
27	2.43378543
28	2.42245985
29	2.415251958
30	2.40633287
31	2.394803653
32	2.384772034
33	2.377394759
34	2.366285523
35	2.356630326
36	2.348360663
37	2.342139404
38	2.335221639
39	2.326989492
40	2.320926136
41	2.315528709
42	2.308745215
43	2.302185498
44	2.297847101
45	2.292227648
46	2.285703575
47	2.283805218
48	2.278424128
49	2.274191109
50	2.270615953
51	2.265808369
52	2.261373367
53	2.257439658
54	2.253061699
55	2.248529022
56	2.245265683
57	2.241422129
58	2.237278094
59	2.234558003
60	2.230575558
61	2.227096596
62	2.223579588
63	2.220479373
64	2.216447207
65	2.214355797
66	2.212245855
67	2.210013706
68	2.206703945
69	2.204503159
70	2.20262448
71	2.199529751
72	2.196278463
73	2.193635486
74	2.190931181
75	2.189736692
76	2.187095074
77	2.185191032
78	2.182074579
79	2.178940225
80	2.177113491
81	2.17492757
82	2.173399481
83	2.1711321
84	2.168420086
85	2.166594235
86	2.164282111
87	2.162948484
88	2.160862045
89	2.158994536
90	2.15685125
91	2.154683917
92	2.152305871
93	2.15000096
94	2.148276714
95	2.145505711
96	2.144161622
97	2.14195219
98	2.138857626
99	2.136744562
100	2.133758654
101	2.131195696
102	2.129204693
103	2.126176295
104	2.125531802
105	2.124425039
106	2.122202949
107	2.120386965
108	2.118208354
109	2.116773415
110	2.115166233
111	2.113567458
112	2.11213041
113	2.110859102
114	2.109355239
115	2.106816105
116	2.103458798
117	2.101226613
118	2.099392084
119	2.097843121
120	2.096618822
121	2.094449901
122	2.09355953
123	2.09220905
124	2.089412157
125	2.088114054
126	2.085640905
127	2.084081065
128	2.083289671
129	2.082707209
130	2.080304053
131	2.079367567
132	2.076125852
133	2.073562596
134	2.071597346
135	2.069540843
136	2.06918492
137	2.06657827
138	2.064889709
139	2.063656907
140	2.062223555
141	2.059983063
142	2.057743356
143	2.056317639
144	2.055500014
145	2.054583167
146	2.05353884
147	2.053363766
148	2.051627003
149	2.049454545
150	2.047548931
151	2.045582522
152	2.044030897
153	2.043725322
154	2.040959618
155	2.038557407
156	2.037610479
157	2.035187659
158	2.034359059
159	2.033260142
160	2.032097236
161	2.031450962
162	2.030598634
163	2.028392134
164	2.027554841
165	2.025561756
166	2.02520091
167	2.023812418
168	2.021623188
169	2.020876587
170	2.01981968
171	2.018363981
172	2.018160542
173	2.017398528
174	2.01689282
175	2.016077809
176	2.015585801
177	2.014705715
178	2.013623599
179	2.012774849
180	2.011408597
181	2.009333289
182	2.009013893
183	2.008181723
184	2.007274408
185	2.006492218
186	2.005630498
187	2.004208204
188	2.002200829
189	1.999865931
190	1.998859616
191	1.996978709
192	1.996444481
193	1.993711667
194	1.99302632
