iter	Passed	Remaining
0	4	4855
1	9	4656
2	13	4517
3	17	4439
4	21	4333
5	26	4340
6	30	4263
7	34	4274
8	38	4257
9	43	4275
10	47	4258
11	51	4239
12	56	4257
13	60	4227
14	63	4186
15	67	4171
16	72	4186
17	77	4218
18	81	4205
19	85	4185
20	90	4204
21	94	4182
22	98	4166
23	103	4192
24	107	4177
25	111	4177
26	115	4162
27	124	4307
28	129	4347
29	135	4376
30	139	4362
31	143	4346
32	148	4354
33	153	4367
34	157	4346
35	161	4333
36	166	4345
37	171	4343
38	176	4336
39	180	4324
40	184	4323
41	188	4302
42	192	4285
43	197	4288
44	202	4295
45	206	4283
46	210	4276
47	215	4278
48	222	4315
49	226	4310
50	232	4318
51	236	4303
52	240	4298
53	245	4296
54	249	4283
55	254	4285
56	259	4286
57	267	4348
58	273	4356
59	280	4400
60	285	4396
61	290	4395
62	295	4400
63	300	4394
64	305	4394
65	309	4384
66	313	4369
67	317	4350
68	321	4340
69	328	4369
70	335	4395
71	343	4421
72	351	4457
73	361	4527
74	371	4582
75	377	4592
76	383	4593
77	388	4591
78	393	4591
79	398	4584
80	403	4576
81	408	4571
82	413	4565
83	419	4571
84	425	4578
85	430	4579
86	436	4575
87	440	4569
88	446	4565
89	451	4564
90	456	4559
91	461	4559
92	467	4556
93	472	4552
94	477	4548
95	483	4550
96	490	4563
97	495	4562
98	501	4566
99	507	4571
100	515	4589
101	522	4604
102	532	4637
103	541	4662
104	549	4681
105	554	4680
106	560	4681
107	566	4680
108	571	4673
109	576	4667
110	582	4666
111	588	4663
112	593	4656
113	598	4651
114	603	4642
115	608	4635
116	615	4642
117	620	4637
118	625	4630
119	630	4626
120	636	4620
121	641	4614
122	647	4613
123	651	4605
124	658	4611
125	667	4629
126	672	4626
127	679	4626
128	689	4653
129	703	4707
130	711	4721
131	716	4714
132	722	4708
133	728	4708
134	733	4701
135	738	4692
136	742	4679
137	747	4670
138	752	4661
139	759	4665
140	765	4663
141	771	4662
142	777	4661
143	784	4665
144	790	4660
145	795	4654
146	804	4665
147	809	4661
148	815	4655
149	821	4652
150	826	4649
151	831	4636
152	835	4626
153	838	4604
154	844	4603
155	851	4605
156	856	4598
157	862	4594
158	868	4592
159	873	4587
160	878	4579
161	884	4577
162	890	4571
163	902	4599
164	915	4630
165	923	4639
166	931	4645
167	940	4658
168	954	4694
169	961	4692
170	970	4702
171	1000	4818
172	1007	4815
173	1019	4839
174	1026	4839
175	1034	4842
176	1044	4854
177	1053	4863
178	1063	4878
179	1073	4890
180	1082	4895
181	1094	4920
182	1102	4924
183	1110	4925
184	1119	4930
185	1125	4926
186	1141	4962
187	1149	4963
188	1165	5003
189	1175	5011
190	1184	5015
191	1190	5011
192	1196	5003
193	1202	4995
194	1209	4991
195	1216	4991
196	1227	5002
197	1235	5004
198	1248	5025
199	1257	5031
200	1264	5025
201	1269	5013
202	1275	5006
203	1280	4994
204	1287	4993
205	1293	4985
206	1302	4990
207	1311	4992
208	1323	5009
209	1330	5004
210	1335	4994
211	1341	4986
212	1350	4988
213	1358	4989
214	1366	4990
215	1373	4984
216	1385	4998
217	1393	4998
218	1405	5013
219	1410	5001
220	1417	4997
221	1423	4988
222	1432	4990
223	1440	4989
224	1449	4993
225	1457	4989
226	1466	4993
227	1472	4985
228	1479	4982
229	1486	4975
230	1492	4968
231	1499	4962
232	1514	4985
233	1519	4975
234	1527	4973
235	1533	4962
236	1538	4953
237	1545	4947
238	1550	4936
239	1556	4927
240	1562	4921
241	1568	4912
242	1574	4904
243	1580	4896
244	1585	4886
245	1592	4880
246	1597	4870
247	1602	4860
248	1607	4849
249	1613	4839
250	1618	4830
251	1623	4818
252	1628	4807
253	1633	4798
254	1638	4788
255	1644	4778
256	1648	4766
257	1653	4755
258	1658	4745
259	1663	4735
260	1669	4726
261	1674	4716
262	1678	4704
263	1683	4694
264	1688	4682
265	1694	4676
266	1699	4666
267	1705	4657
268	1711	4649
269	1716	4640
270	1722	4632
271	1727	4622
272	1734	4618
273	1740	4611
274	1745	4602
275	1751	4594
276	1757	4586
